cellId,x_mm,y_mm,z_mm,edep_MeV
198,198,0,0,6.257147e-01
199,199,0,0,8.649567e-01
200,200,0,0,6.183224e-01
201,201,0,0,5.652857e-01
202,202,0,0,7.502696e-01
203,203,0,0,6.990559e-01
204,204,0,0,7.938063e-01
205,205,0,0,5.484553e-01
206,206,0,0,7.185445e-01
207,207,0,0,5.735510e-01
208,208,0,0,6.592164e-01
209,209,0,0,6.640583e-01
210,210,0,0,6.943432e-01
211,211,0,0,6.423167e-01
212,212,0,0,6.215627e-01
213,213,0,0,9.183725e-01
214,214,0,0,6.394889e-01
215,215,0,0,1.046653e+00
216,216,0,0,7.296503e-01
217,217,0,0,1.035243e+00
218,218,0,0,6.353973e-01
219,219,0,0,8.212725e-01
220,220,0,0,8.423944e-01
221,221,0,0,7.937618e-01
222,222,0,0,6.669843e-01
223,223,0,0,6.064178e-01
224,224,0,0,9.540948e-01
225,225,0,0,6.907883e-01
226,226,0,0,5.678257e-01
227,227,0,0,6.807689e-01
228,228,0,0,7.370582e-01
229,229,0,0,8.689322e-01
230,230,0,0,7.017945e-01
231,231,0,0,8.123710e-01
232,232,0,0,6.525533e-01
233,233,0,0,7.379639e-01
234,234,0,0,8.751248e-01
235,235,0,0,6.195748e-01
236,236,0,0,6.471753e-01
237,237,0,0,6.348647e-01
238,238,0,0,6.483082e-01
239,239,0,0,6.635619e-01
240,240,0,0,6.583205e-01
241,241,0,0,5.975336e-01
242,242,0,0,6.058265e-01
243,243,0,0,8.629437e-01
244,244,0,0,7.747607e-01
245,245,0,0,9.263528e-01
246,246,0,0,6.547420e-01
247,247,0,0,6.917430e-01
248,248,0,0,5.949207e-01
249,249,0,0,6.129699e-01
250,250,0,0,6.525236e-01
251,251,0,0,6.684289e-01
252,252,0,0,8.712901e-01
253,253,0,0,7.396746e-01
254,254,0,0,6.698372e-01
255,255,0,0,6.761472e-01
256,256,0,0,6.457458e-01
257,257,0,0,6.098184e-01
258,258,0,0,6.351916e-01
259,259,0,0,6.521468e-01
260,260,0,0,7.550842e-01
261,261,0,0,5.840383e-01
262,262,0,0,6.559213e-01
263,263,0,0,6.911668e-01
264,264,0,0,7.614589e-01
265,265,0,0,6.657289e-01
266,266,0,0,6.397987e-01
267,267,0,0,6.131612e-01
268,268,0,0,5.407933e-01
269,269,0,0,6.411269e-01
270,270,0,0,6.481157e-01
271,271,0,0,7.291555e-01
272,272,0,0,5.772435e-01
273,273,0,0,6.416419e-01
274,274,0,0,5.705125e-01
275,275,0,0,6.174636e-01
276,276,0,0,6.254933e-01
277,277,0,0,6.669972e-01
278,278,0,0,7.195635e-01
279,279,0,0,7.894370e-01
280,280,0,0,7.194028e-01
281,281,0,0,9.061987e-01
282,282,0,0,6.655783e-01
283,283,0,0,8.541481e-01
284,284,0,0,6.732474e-01
285,285,0,0,6.891668e-01
286,286,0,0,9.228308e-01
287,287,0,0,7.405070e-01
288,288,0,0,6.985188e-01
289,289,0,0,7.409439e-01
290,290,0,0,6.471980e-01
291,291,0,0,6.524895e-01
292,292,0,0,5.997140e-01
293,293,0,0,7.416188e-01
294,294,0,0,6.916680e-01
295,295,0,0,7.065961e-01
296,296,0,0,8.248443e-01
297,297,0,0,5.856081e-01
298,298,0,0,5.938290e-01
299,299,0,0,6.677388e-01
300,300,0,0,8.522045e-01
301,301,0,0,6.231026e-01
302,302,0,0,7.494481e-01
303,303,0,0,7.221882e-01
304,304,0,0,7.869056e-01
305,305,0,0,7.003117e-01
306,306,0,0,5.978543e-01
307,307,0,0,7.818875e-01
308,308,0,0,8.126693e-01
309,309,0,0,7.615073e-01
310,310,0,0,6.797637e-01
311,311,0,0,7.024076e-01
312,312,0,0,7.819846e-01
313,313,0,0,7.562885e-01
314,314,0,0,6.461310e-01
315,315,0,0,7.201342e-01
316,316,0,0,6.513692e-01
