EventID,edep_MeV,dose_Gy
176,5.882822e-01,2.022601e-10
177,5.135366e-01,1.765615e-10
178,5.746215e-01,1.975633e-10
179,6.114046e-01,2.102099e-10
180,6.090194e-01,2.093898e-10
181,6.067653e-01,2.086149e-10
182,6.882699e-01,2.366373e-10
183,7.481946e-01,2.572403e-10
184,7.629056e-01,2.622982e-10
185,6.231384e-01,2.142441e-10
186,7.501539e-01,2.579139e-10
187,6.708827e-01,2.306594e-10
188,6.187590e-01,2.127385e-10
189,7.722975e-01,2.655273e-10
190,7.507817e-01,2.581298e-10
191,6.515957e-01,2.240282e-10
192,7.682064e-01,2.641207e-10
193,6.077958e-01,2.089691e-10
194,6.964449e-01,2.394480e-10
195,5.967877e-01,2.051844e-10
196,6.657867e-01,2.289073e-10
197,6.440817e-01,2.214448e-10
198,6.257147e-01,2.151299e-10
199,8.649567e-01,2.973849e-10
200,6.183224e-01,2.125883e-10
201,5.652857e-01,1.943535e-10
202,7.502696e-01,2.579538e-10
203,6.990559e-01,2.403457e-10
204,7.938063e-01,2.729223e-10
205,5.484553e-01,1.885670e-10
206,7.185445e-01,2.470462e-10
207,5.735510e-01,1.971953e-10
208,6.592164e-01,2.266483e-10
209,6.640583e-01,2.283130e-10
210,6.943432e-01,2.387254e-10
211,6.423167e-01,2.208379e-10
212,6.215627e-01,2.137024e-10
213,9.183725e-01,3.157500e-10
214,6.394889e-01,2.198657e-10
215,1.046653e+00,3.598545e-10
216,7.296503e-01,2.508645e-10
217,1.035243e+00,3.559316e-10
218,6.353973e-01,2.184589e-10
219,8.212725e-01,2.823656e-10
220,8.423944e-01,2.896276e-10
221,7.937618e-01,2.729070e-10
222,6.669843e-01,2.293190e-10
223,6.064178e-01,2.084954e-10
224,9.540948e-01,3.280319e-10
225,6.907883e-01,2.375032e-10
226,5.678257e-01,1.952268e-10
227,6.807689e-01,2.340584e-10
228,7.370582e-01,2.534115e-10
229,8.689322e-01,2.987517e-10
230,7.017945e-01,2.412873e-10
231,8.123710e-01,2.793051e-10
232,6.525533e-01,2.243574e-10
233,7.379639e-01,2.537229e-10
234,8.751248e-01,3.008808e-10
235,6.195748e-01,2.130189e-10
236,6.471753e-01,2.225084e-10
237,6.348647e-01,2.182758e-10
238,6.483082e-01,2.228979e-10
239,6.635619e-01,2.281424e-10
240,6.583205e-01,2.263403e-10
241,5.975336e-01,2.054409e-10
242,6.058265e-01,2.082921e-10
243,8.629437e-01,2.966928e-10
244,7.747607e-01,2.663741e-10
245,9.263528e-01,3.184937e-10
246,6.547420e-01,2.251099e-10
247,6.917430e-01,2.378314e-10
248,5.949207e-01,2.045425e-10
249,6.129699e-01,2.107481e-10
250,6.525236e-01,2.243472e-10
251,6.684289e-01,2.298157e-10
252,8.712901e-01,2.995624e-10
253,7.396746e-01,2.543110e-10
254,6.698372e-01,2.302999e-10
255,6.761472e-01,2.324694e-10
256,6.457458e-01,2.220169e-10
257,6.098184e-01,2.096646e-10
258,6.351916e-01,2.183882e-10
259,6.521468e-01,2.242177e-10
260,7.550842e-01,2.596091e-10
261,5.840383e-01,2.008010e-10
262,6.559213e-01,2.255154e-10
263,6.911668e-01,2.376333e-10
264,7.614589e-01,2.618008e-10
265,6.657289e-01,2.288874e-10
266,6.397987e-01,2.199722e-10
267,6.131612e-01,2.108139e-10
268,5.407933e-01,1.859327e-10
269,6.411269e-01,2.204289e-10
270,6.481157e-01,2.228317e-10
271,7.291555e-01,2.506944e-10
272,5.772435e-01,1.984648e-10
273,6.416419e-01,2.206059e-10
274,5.705125e-01,1.961506e-10
275,6.174636e-01,2.122931e-10
276,6.254933e-01,2.150538e-10
277,6.669972e-01,2.293235e-10
278,7.195635e-01,2.473965e-10
279,7.894370e-01,2.714201e-10
280,7.194028e-01,2.473413e-10
281,9.061987e-01,3.115644e-10
282,6.655783e-01,2.288356e-10
283,8.541481e-01,2.936687e-10
284,6.732474e-01,2.314724e-10
285,6.891668e-01,2.369457e-10
286,9.228308e-01,3.172828e-10
287,7.405070e-01,2.545972e-10
288,6.985188e-01,2.401610e-10
289,7.409439e-01,2.547474e-10
290,6.471980e-01,2.225162e-10
291,6.524895e-01,2.243355e-10
292,5.997140e-01,2.061905e-10
293,7.416188e-01,2.549795e-10
294,6.916680e-01,2.378056e-10
295,7.065961e-01,2.429382e-10
296,8.248443e-01,2.835936e-10
297,5.856081e-01,2.013407e-10
298,5.938290e-01,2.041672e-10
299,6.677388e-01,2.295784e-10
300,8.522045e-01,2.930005e-10
301,6.231026e-01,2.142318e-10
302,7.494481e-01,2.576713e-10
303,7.221882e-01,2.482989e-10
304,7.869056e-01,2.705497e-10
305,7.003117e-01,2.407775e-10
306,5.978543e-01,2.055511e-10
307,7.818875e-01,2.688244e-10
308,8.126693e-01,2.794077e-10
309,7.615073e-01,2.618174e-10
310,6.797637e-01,2.337128e-10
311,7.024076e-01,2.414981e-10
312,7.819846e-01,2.688578e-10
313,7.562885e-01,2.600231e-10
314,6.461310e-01,2.221493e-10
315,7.201342e-01,2.475928e-10
316,6.513692e-01,2.239503e-10
317,6.659919e-01,2.289778e-10
318,5.661049e-01,1.946352e-10
319,6.908694e-01,2.375311e-10
320,7.229569e-01,2.485632e-10
321,7.074975e-01,2.432481e-10
322,7.001684e-01,2.407282e-10
323,5.575873e-01,1.917067e-10
324,6.446376e-01,2.216359e-10
325,7.120069e-01,2.447985e-10
326,7.957701e-01,2.735975e-10
327,7.620726e-01,2.620118e-10
328,5.991511e-01,2.059970e-10
329,7.663286e-01,2.634751e-10
330,7.666811e-01,2.635962e-10
331,6.462112e-01,2.221769e-10
332,5.929132e-01,2.038523e-10
333,7.470862e-01,2.568592e-10
334,6.455014e-01,2.219329e-10
335,5.870630e-01,2.018409e-10
336,8.012552e-01,2.754833e-10
337,7.772720e-01,2.672376e-10
